song_id,Song,Artist,Position,Last Week,Peak,Weeks on Chart,Week,Year,Decade,Month
672,WINGS OF A DOVE,MADNESS,92,LW:RE,2,11,1983-10-30,1983,1980,10
809,TOO LITTLE OF YOU TO LOVE,MAMA'S BOYS,97,LW:RE,85,3,1983-10-30,1983,1980,10
213,PAL OF MY CRADLE DAYS,ANN BREEN,99,LW:RE,69,11,1983-11-06,1983,1980,11
337,LITTLE D CORVETTE,PRINCE,83,LW:RE,54,9,1983-11-13,1983,1980,11
876,THE ENTERTAINER,THE BELLE STARS,98,LW:RE,95,3,1983-11-13,1983,1980,11
842,SONG TO THE SIN,THIS MORTAL COIL,98,LW:RE,66,5,1983-11-27,1983,1980,11
72,MERRY XMAS EVERYBODY,SLADE,72,LW:RE,1,19,1983-12-04,1983,1980,12
213,PAL OF MY CRADLE DAYS,ANN BREEN,90,LW:RE,69,12,1983-12-04,1983,1980,12
54,POSTMAN PAT,KEN BARRIE,91,LW:RE,44,13,1983-12-04,1983,1980,12
73,I BELIEVE IN FATHER CHRISTMAS,GREG LAKE,94,LW:RE,2,11,1983-12-11,1983,1980,12
989,MY SON,JJ BARRIE,97,LW:RE,96,2,1983-12-11,1983,1980,12
898,WHEN I LEAVE THE WORLD BEHIND,ROSE MARIE,66,LW:RE,63,7,1983-12-18,1983,1980,12
858,UNION OF THE SNAKE,DURAN DURAN,75,LW:RE,3,8,1983-12-18,1983,1980,12
723,NEW SONG,HOWARD JONES,85,LW:RE,3,15,1983-12-18,1983,1980,12
62,HAPPY XMAS (WAR IS OVER),JOHN AND YOKO AND THE PLASTIC ONO BAND WITH THE HARLEM COMMUNITY CHOIR,92,LW:RE,2,27,1983-12-18,1983,1980,12
983,SUNBURST AND SNOWBLIND,COCTEAU TWINS,94,LW:RE,86,3,1983-12-18,1983,1980,12
1030,EYE OF THE TIGER,SURVIVOR,96,LW:RE,1,16,1983-12-18,1983,1980,12
270,BLUE MONDAY,NEW ORDER,65,LW:RE,9,39,1984-01-01,1984,1980,1
884,ONLY FOR LOVE,LIMAHL,75,LW:RE,16,8,1984-01-01,1984,1980,1
704,THE SAFETY DANCE,MEN WITHOUT HATS,79,LW:RE,6,16,1984-01-01,1984,1980,1
867,LOVE WILL TEAR US APART {1983},JOY DIVISION,86,LW:RE,19,8,1984-01-01,1984,1980,1
953,ROCK THE MIDNIGHT,DAVID GRANT,88,LW:RE,46,5,1984-01-01,1984,1980,1
912,THE VOW,TOYAH,90,LW:RE,50,7,1984-01-01,1984,1980,1
905,LISTEN TO THE RADIO - ATMOSPHERICS,TOM ROBINSON AND CREW,94,LW:RE,39,7,1984-01-01,1984,1980,1
785,(HEY YOU) THE ROCKSTEADY CW,ROCKSTEADY CREW,95,LW:RE,6,13,1984-01-01,1984,1980,1
914,I WON'T LET THE SUN GO DOWN ON ME,NIK KERSHAW,96,LW:RE,47,7,1984-01-01,1984,1980,1
955,SHARP DSSED MAN,ZZ TOP,100,LW:RE,53,4,1984-01-01,1984,1980,1
1042,RAZOR'S EDGE {1984},MEAT LOAF,48,LW:RE,48,2,1984-01-08,1984,1980,1
917,WHITE LINES (DON'T DO IT),GRANDMASTER FLASH AND MELLE MEL,93,LW:RE,60,5,1984-01-08,1984,1980,1
1030,EYE OF THE TIGER,SURVIVOR,94,LW:RE,1,18,1984-01-08,1984,1980,1
