artist_id,Artist
242,PETER TOSH
243,ROBERT PALMER
244,AMAZULU
245,FASTWAY
246,WIDE BOY AWAKE
247,CHILL FAC-TORR
248,STEVE HACKETT
249,GRACE JONES
250,FARMERS BOYS
251,AFTER THE FIRE
252,SWEET DREAMS
253,DAVID BELLAMY
254,STEVE SHELTO
255,LOUISE TUCKER
256,VIA MARCONI
257,GARY NUMAN AND THE TUBEWAY ARMY
258,CASHMERE
259,LORITA GRAHAME
260,BOB SEGER
261,LIVERPOOL FOOTBALL CLUB
262,10CC
263,FREUR
264,I-LEVEL
265,COMPO AND NORA BATTY
266,STYX
267,VALENTINE BROS
268,CLIFF RICHARD AND THE LONDON PHILHARMONIC ORCHESTRA
269,NEW EDITION
270,QUESTIONS
271,PETE KNARREN
272,THE SYSTEM
273,THE TREMELOES
274,RAH BAND
275,GREG KIHN BAND
276,IRON MAIDEN
277,GALAXY FEATURING PHIL FEARON
278,CREATURES
279,SAXON
280,JUNIOR
281,THE BEAT
282,BAD MANNERS
283,BA ROBERTSON
284,ROGER WHITTAKER
285,THE ALARM
286,PETER AND THE TEST TUBE BABIES
287,KISS
288,DAVID GRANT
289,ELTON JOHN
290,D TRAIN
291,CLASS ACTION
292,THE WATERBOYS
293,WISH
294,MAZE
295,THE FATBACK BAND
296,FATBACK BAND
297,PHIL EVERLY
298,DAVID VAN DAY
299,PINK FLOYD
300,RUSH
301,BOB MARLEY & THE WAILERS
302,HOT CHOCOLATE
303,THE B-52S
304,ROBERT WYATT
305,C.O.D.
306,UK PLAYERS
307,SYLVESTER
308,PRINCE CHARLES AND THE CITY BEAT BAND
309,JON AND VANGELIS
310,CORINNE HERMES
311,H2O
312,PATTI SMITH
313,MARY JANE GIRLS
314,FAT LARRY'S BAND
315,GBH
316,AL JARREAU
317,MTUME
318,ADICTS
319,DYNASTY
320,BAND AKA
321,PAUL HAIG
322,NORMA LEWIS
323,FLASH AND THE PAN
324,MIKE OLDFIELD
325,MANCHESTER UNITED FC
326,MOTORHEAD
327,GEORGE BENSON
328,BARCLAY JAMES HARVEST
329,FIRST LIGHT
330,AGNETHA FALTSKOG
331,JOHN MILES
332,MEAT LOAF
333,JUDIE TZUKE
334,BILLY FURY
335,ROBIN GIBB
336,THE POLICE
337,BOOKER NEWBURY III
338,BRASS CONSTRUCTION
339,STEVE HARVEY
340,BRIGHTON AND HOVE ALBION
341,COCONUTS
342,MATT FRETTON
343,SAPPHIRES
344,KAREN YOUNG
345,THE TUBES
346,STEPHEN BISHOP
347,IRENE CARA
348,ROD STEWART
349,SHAKATAK
350,SHEILA WALSH AND CLIFF RICHARD
351,TRUTH
352,URIAH HEEP
353,CLINT EASTWOOD AND GENERAL SAINT
354,MAIN T POSSEE
355,YELLO
356,TACO
357,DEAD OR ALIVE
358,IMPOSTER
359,INGRAM
360,BLACKFOOT
361,FUNK MASTERS
362,PAUL YOUNG
363,SPECIMEN
364,RUSSELL GRANT
365,THE SEX PISTOLS
366,MIQUEL BROWN
367,BLOOMSBURY SET
368,PUSH
369,JOE DOLAN
370,FREEEZ
371,ELECTRIC LIGHT ORCHESTRA
372,RITA COOLIDGE
373,JIMMY THE HOOVER
374,MENAGE
375,SAD CAFE
376,HANOI ROCKS
377,DEVO
378,TOM ROBINSON
379,KILLING JOKE
380,TERRI WELLS
381,JAMES BROWN
382,JANE
383,MIKE BERRY
384,MAZE FEATURING FRANKIE BEVERLY
385,NEW GUYS ON THE BLOCK
386,FRIDA
387,DAVID SYLVIAN AND RIUICHI SAKAMOTO
388,MARC AND THE MAMBAS
389,OLIVER CHEATHAM
390,LOTUS EATERS
391,JOHN FOXX
392,GIBSON BROTHERS
393,SERGIO MENDES
394,TIN TIN
395,VISION
396,ICICLE WORKS
397,HAZELL DEAN
398,LORDS OF THE NEW CHURCH
399,HOWARD DEVOTO
400,MIDGE URE AND MICK KARN
401,PETER GABRIEL
402,STATUS IV
403,THE ISLEY BROTHERS
404,MONTY PYTHON
405,ESPIONAGE
406,SURFACE
407,HAMILTON BOHANNON
408,CAPTAIN SENSIBLE
409,LONNIE LISTON SMITH
410,LA FAMILLE
411,ROBERT PLANT
412,THOMAS DOLBY
413,RICHARD JON SMITH
414,KC AND THE SUNSHINE BAND
415,WANG CHUNG
416,SARAH BRIGHTMAN
417,ADVERTS
418,NAKED EYES
419,FINIA HENDERSON
420,GARY BYRD AND THE GB EXPERIENCE
421,CLUBHOUSE
422,MICHAEL WYCOFF
423,ARETHA FRANKLIN
424,THE BEE GEES
425,SPLIT ENZ
426,TODD RUNDGREN
427,THE JETS
428,JONZUN CREW
429,CABARET VOLTAIRE
430,ORLANDO JOHNSON AND TRANCE
431,BOYSTOWN GANG
432,BRUCE FOXTON
433,KIM WILDE
434,HERBIE HANCOCK
435,LA FLEUR
436,THE O'JAYS
437,THE MANHATTANS
438,CARMEL
439,THE KINKS
440,JACKIE WILSON
441,THE CHI-LITES
442,KRAFTWERK
443,HAIRCUT 100
444,THE STRAY CATS
445,MICHAEL SEMBELLO
446,DAVE STEWART AND BARBARA GASKIN
447,TOM TOM CLUB
448,STEVE HARLEY AND COCKNEY REBEL
449,BIZ
450,SERGE PONAAR
451,Y&T
452,ASIA
453,JO BOXERS
454,KENNY LYNCH
455,PEABO BRYSON AND ROBERTA FLACK
456,LIGHT OF THE WORLD
457,KATIE KISSOON
458,ROBERT MARLOW
459,KURTIS BLOW
460,JULIE ROBERTS
461,THE MOODY BLUES
462,GLOVE
463,DIO
464,MEN AT PLAY
465,STAR SISTERS
466,ANNABEL LAMB
467,SILENT RUNNING
468,WEATHER GIRLS
469,RICK JAMES
470,JEFFREY OSBORNE
471,EVERYTHING BUT THE GIRL
472,RAINBOW
473,PARADISE
474,COMSAT ANGELS
475,RYAN PARIS
476,DIAMOND HEAD
477,GANG OF FOUR
478,ZZ TOP
479,NEW YORK SKYY
480,MEN WITHOUT HATS
481,PROJECT FUTURE
482,GENESIS
483,GARY NUMAN
484,NEWCLEUS
485,UNIQUE
486,HAYWOODE
487,MONYAKA
488,HOWARD JONES
489,PATRICK GAMMON
490,EDWIN STARR
491,HOT STREAK
492,ENNIO MORRICONE
493,BLACK LACE
494,RIGHEIRA
495,PUBLIC IMAGE LIMITED
496,ELVIS COSTELLO
497,PLANET PATROL
498,SHEENA EASTON
499,MELANIE
500,LYDIA MURDOCK
501,RAKE
502,TOYAH
503,RUMPLE-STILTS-SKIN
504,CROWN HEIGHTS AFFAIR
505,WILL POWERS
506,K-9 CORP
507,HEAVY PETTIN'
508,KENNY ROGERS
509,RYUICHI
510,QUEENSRYCHE
511,OLYMPIC ORCHESTRA
512,ROCKSTEADY CREW
513,SPACE MONKEY
514,JBS ALL STARS
515,TOM BROWNE
516,XTC
517,TIK AND TOK
518,THE COMMODORES
519,NATURAL ITES
520,THE FIXX
521,TIME UK
522,GARY LOW
523,WEST STREET MOB
524,DIVINE
525,ASHAYE
526,MAMA'S BOYS
527,STONE CITY BAND
528,ONE WAY
529,STEVE WRIGHT
530,INTAFERON
531,BILLY JOEL
532,ACTIVE FORCE
533,PAUL MCCARTNEY AND MICHAEL JACKSON
534,KING KURT
535,CURTIS HAIRSTON
